instance_type,cpu_cores,mem_capacity
m6gd.medium,1,4
m6gd.metal,64,256
m6gd.xlarge,4,16
mac1.metal,12,32
p2.16xlarge,64,732
p2.8xlarge,32,488
p2.xlarge,4,61
p3.16xlarge,64,488
p3.2xlarge,8,61
p3.8xlarge,32,244
p3dn.24xlarge,96,768
p4d.24xlarge,96,1152
r3.2xlarge,8,61
r3.4xlarge,16,122
r3.8xlarge,32,244
r3.large,2,15.25
r3.xlarge,4,30.5
r4.16xlarge,64,488
r4.2xlarge,8,61
r4.4xlarge,16,122
r4.8xlarge,32,244
r4.large,2,15.25
r4.xlarge,4,30.5
r5.12xlarge,48,384
r5.16xlarge,64,512
r5.24xlarge,96,768
r5.2xlarge,8,64
r5.4xlarge,16,128
r5.8xlarge,32,256
r5.large,2,16
r5.metal,96,768
r5.xlarge,4,32
r5a.12xlarge,48,384
r5a.16xlarge,64,512
r5a.24xlarge,96,768
r5a.2xlarge,8,64
r5a.4xlarge,16,128
r5a.8xlarge,32,256
r5a.large,2,16
r5a.xlarge,4,32
r5ad.12xlarge,48,384
r5ad.16xlarge,64,512
r5ad.24xlarge,96,768
r5ad.2xlarge,8,64
r5ad.4xlarge,16,128
r5ad.8xlarge,32,256
r5ad.large,2,16
r5ad.xlarge,4,32
r5b.12xlarge,48,384
r5b.16xlarge,64,512
r5b.24xlarge,96,768
r5b.2xlarge,8,64
r5b.4xlarge,16,128
r5b.8xlarge,32,256
r5b.large,2,16
r5b.metal, 96, 768
r5b.xlarge,4,32
r5d.12xlarge,48,384
r5d.16xlarge,64,512
r5d.24xlarge,96,768
r5d.2xlarge,8,64
r5d.4xlarge,16,128
r5d.8xlarge,32,256
r5d.large,2,16
r5d.metal,96,768
r5d.xlarge,4,32
r5dn.12xlarge,48,384
r5dn.16xlarge,64,512
r5dn.24xlarge,96,768
r5dn.2xlarge,8,64
r5dn.4xlarge,16,128
r5dn.8xlarge,32,256
r5dn.large,2,16
r5dn.metal,96,768
r5dn.xlarge,4,32
r5n.12xlarge,48,384
r5n.16xlarge,64,512
r5n.24xlarge,96,768
r5n.2xlarge,8,64
r5n.4xlarge,16,128
r5n.8xlarge,32,256
r5n.large,2,16
r5n.metal,96,768
r5n.xlarge,4,32
r6g.12xlarge,48,384
r6g.16xlarge,64,512
r6g.2xlarge,8,64
r6g.4xlarge,16,128
r6g.8xlarge,32,256
r6g.large,2,16
r6g.medium,1,8
r6g.metal,64,512
r6g.xlarge,4,32
r6gd.12xlarge,48,384
r6gd.16xlarge,64,512
r6gd.2xlarge,8,64
r6gd.4xlarge,16,128
r6gd.8xlarge,32,256
r6gd.large,2,16
r6gd.medium,1,8
r6gd.metal,64,512
r6gd.xlarge,4,32
t1.micro,1,0.613
t2.2xlarge,8,32
t2.large,2,8
t2.medium,2,4
t2.micro,1,1
t2.nano,1,0.5
t2.small,1,2
t2.xlarge,4,16
t3.2xlarge,8,32
t3.large,2,8
t3.medium,2,4
t3.micro,2,1
