vendor_action,event_group,action,change_type,object_category
org.secret_scanning_push_protection_custom_message_enabled,change_all,modified,filesystem,Organization
org.secret_scanning_push_protection_disable,change_all,modified,filesystem,Organization
org.secret_scanning_push_protection_enable,change_all,modified,filesystem,Organization
org.secret_scanning_push_protection_new_repos_enable,change_all,modified,filesystem,Organization
org.set_default_workflow_permissions,change_all,modified,filesystem,Organization
org.set_workflow_permission_can_approve_pr,change_all,modified,filesystem,Organization
org.create,change_all,created,filesystem,Organization
org.create_actions_secret,change_all,modified,filesystem,Organization
org.create_integration_secret,change_all,modified,filesystem,Organization
org.disable_member_team_creation_permission,change_all,modified,filesystem,Organization
org.enable_member_team_creation_permission,change_all,modified,filesystem,Organization
org.enable_oauth_app_restrictions,change_all,modified,filesystem,Organization
org.remove_actions_secret,change_all,modified,filesystem,Organization
org.remove_integration_secret,change_all,modified,filesystem,Organization
org.rename,change_all,modified,filesystem,Organization
org.update_actions_secret,change_all,modified,filesystem,Organization
org.update_actions_settings,change_all,modified,filesystem,Organization
org.update_default_repository_permission,change_all,modified,filesystem,Organization
org.update_integration_secret,change_all,modified,filesystem,Organization
org.advanced_security_disabled_for_new_repos,change_all,modified,filesystem,Organization
org.advanced_security_disabled_on_all_repos,change_all,modified,filesystem,Organization
org.advanced_security_enabled_for_new_repos,change_all,modified,filesystem,Organization
org.advanced_security_enabled_on_all_repos,change_all,modified,filesystem,Organization
org.allow_third_party_access_requests_from_outside_collaborators_disabled,change_all,modified,filesystem,Organization
org.allow_third_party_access_requests_from_outside_collaborators_enabled,change_all,modified,filesystem,Organization
org.runner_group_created,change_all,modified,filesystem,Organization
org.runner_group_removed,change_all,modified,filesystem,Organization
org.runner_group_updated,change_all,modified,filesystem,Organization
org.set_actions_fork_pr_approvals_policy,change_all,modified,filesystem,Organization
org.set_actions_retention_limit,change_all,modified,filesystem,Organization
org.update_member_repository_creation_permission,change_all,modified,filesystem,Organization
org.update_member_repository_invitation_permission,change_all,modified,filesystem,Organization
org.update_new_repository_default_branch_setting,change_all,modified,filesystem,Organization
org.update_terms_of_service,change_all,modified,filesystem,Organization
repo.code_scanning_analysis_deleted,change_all,modified,filesystem,Repository
repo.code_scanning_configuration_for_branch_deleted,change_all,modified,filesystem,Repository
repo.register_self_hosted_runner,change_all,modified,filesystem,Repository
repo.remove_self_hosted_runner,change_all,modified,filesystem,Repository
repo.self_hosted_runner_offline,change_all,modified,filesystem,Repository
repo.self_hosted_runner_online,change_all,modified,filesystem,Repository
repo.transfer_outgoing,change_all,modified,filesystem,Repository
repo.access,change_all,modified,filesystem,Repository
repo.advanced_security_disabled,change_all,modified,filesystem,Repository
repo.archived,change_all,modified,filesystem,Repository
repo.config.disable_collaborators_only,change_all,modified,filesystem,Repository
repo.config.disable_contributors_only,change_all,modified,filesystem,Repository
repo.config.disable_sockpuppet_disallowed,change_all,modified,filesystem,Repository
repo.config.enable_collaborators_only,change_all,modified,filesystem,Repository
repo.config.enable_contributors_only,change_all,modified,filesystem,Repository
repo.config.enable_sockpuppet_disallowed,change_all,modified,filesystem,Repository
repo.create_actions_secret,change_all,modified,filesystem,Repository
repo.create_integration_secret,change_all,modified,filesystem,Repository
repo.destroy,change_all,deleted,filesystem,Repository
repo.remove_actions_secret,change_all,modified,filesystem,Repository
repo.remove_integration_secret,change_all,modified,filesystem,Repository
repo.rename,change_all,modified,filesystem,Repository
repo.transfer,change_all,modified,filesystem,Repository
repo.unarchived,change_all,modified,filesystem,Repository
repo.update_actions_secret,change_all,modified,filesystem,Repository
repo.update_actions_settings,change_all,modified,filesystem,Repository
