Workload,Operation,dataset_name
SecurityComplianceCenter,AlertEntityGenerated,alerts
SecurityComplianceCenter,AlertTriggered,alerts
SecurityComplianceCenter,InsightGenerated,alerts
SecurityComplianceCenter,AlertUpdated,alerts
