eventType,change_type,object_category,object_attrs
user.mfa.factor.activate,filesystem,User,MFA Factor
user.mfa.factor.deactivate,filesystem,User,MFA Factor
user.mfa.factor.reset_all,filesystem,User,
user.mfa.factor.update,AAA,User,MFA Factor
user.session.access_admin_app,,,
user.session.clear,AAA,User,Session
user.session.end,AAA,User,
system.email.challenge_factor_redeemed,AAA,User,
device.user.add,AAA,UDDevice,
device.lifecycle.unsuspend,filesystem,UDDevice,
device.lifecycle.suspend,filesystem,UDDevice,
device.lifecycle.delete,filesystem,UDDevice,
device.lifecycle.deactivate,filesystem,UDDevice,
device.lifecycle.activate,filesystem,UDDevice,
device.enrollment.create,AAA,UDDevice,
system.sms.send_okta_push_verify_message,AAA,User,
system.push.send_factor_verify_push,AAA,User,
user.mfa.factor.unsuspend,AAA,User,
system.agent.ad.update_user,AAA,User,
user.mfa.factor.suspend,AAA,User,
system.import.user_matching.start,AAA,AppInstance,
system.import.user_matching.complete,AAA,AppInstance,
system.import.membership_processing.complete,AAA,AppInstance,
system.import.membership_processing.start,AAA,AppInstance,
system.import.implicit_deletion.complete,AAA,AppInstance,
system.import.implicit_deletion.start,AAA,AppInstance,
app.user_management.push_new_user_success,AAA,User,
app.oauth2.token.revoke,AAA,access_token,
app.oauth2.as.consent.revoke.implicit.client,AAA,PublicClientApp,
app.oauth2.admin.consent.grant,AAA,ConsentGrant,
app.oauth2.as.token.grant.access_token,AAA,access_token,
app.oauth2.client.lifecycle.activate,AAA,PublicClientAppEntity,
app.oauth2.client.lifecycle.create,AAA,PublicClientAppEntity,
app.oauth2.client.lifecycle.deactivate,AAA,PublicClientAppEntity,
app.oauth2.client.lifecycle.delete,filesystem,PublicClientAppEntity,
app.oauth2.client.lifecycle.update,AAA,PublicClientAppEntity,
app.oauth2.credentials.lifecycle.activate,AAA,OAuth2ClientSecretEntity,
app.oauth2.credentials.lifecycle.deactivate,AAA,OAuth2ClientSecretEntity,
app.oauth2.credentials.lifecycle.create,AAA,OAuth2ClientSecretEntity,
app.oauth2.credentials.lifecycle.delete,AAA,OAuth2ClientSecretEntity,
application.configuration.disable_fed_broker_mode,filesystem,AppInstance,
application.configuration.enable_fed_broker_mode,filesystem,AppInstance,
group.lifecycle.delete,filesystem,UserGroup,
iam.role.create,AAA,Role,
policy.mapping.create,AAA,PolicyEntity,
system.log_stream.lifecycle.activate,filesystem,LogStream,
system.log_stream.lifecycle.create,filesystem,LogStream,
system.log_stream.lifecycle.deactivate,filesystem,LogStream,
system.log_stream.lifecycle.delete,filesystem,LogStream,
system.log_stream.lifecycle.update,filesystem,LogStream,
security.authenticator.lifecycle.activate,AAA,Authenticator,
security.authenticator.lifecycle.update,AAA,Authenticator,
oauth2.scope.deleted,AAA,OAuth2ScopeEntity,
oauth2.as.deactivated,AAA,AuthorizationServerEntity,
oauth2.scope.updated,AAA,OAuth2ScopeEntity,
app.oauth2.api_resource.delete,AAA,ApiResourceEntity,
oauth2.as.deleted,AAA,AuthorizationServerEntity,
system.api_token.update,AAA,Token,
app.user_management.user_group_import.delete_success,AAA,AppGroup,
app.user_management.user_group_import.upsert_success,AAA,AppGroup,
application.provision.field_mapping_rule.change,filesystem,AppInstance,
application.provision.group_push.delete_appgroup,filesystem,AppGroup,
application.provision.group_push.mapping.created,filesystem,GroupPushMapping,
application.provision.group_push.push_memberships,filesystem,GroupPushMapping,
directory.linked_object.create,AAA,Schema,
directory.non_default_user_profile.create,filesystem,Schema,
directory.user_profile.bootstrap,filesystem,Schema,
group.profile.update,filesystem,UserGroup,
iam.resourceset.bindings.add,AAA,ResourceSet,
iam.resourceset.create,filesystem,ResourceSet,
security.threat.configuration.update,AAA,,
self_service.disabled,AAA,AppInstance,
self_service.enabled,AAA,AppInstance,
system.agent.ad.create,filesystem,,
system.agent.ad.import_user,filesystem,AppInstance,
system.brand.create,filesystem,Brand,
system.import.roadblock.updated,filesystem,,
system.mfa.factor.activate,AAA,MFA Factor,
zone.create,filesystem,NetworkZoneEntity,
app.oauth2.admin.consent.revoke,AAA,ConsentGrant,
app.oauth2.as.token.grant,AAA,,
app.oauth2.token.grant,AAA,code,
user.account.unlock_by_admin,filesystem,User,
user.lifecycle.reactivate,filesystem,User,
plugin.script_status,filesystem,filesystem,
app.access_request.request,AAA,ResourceRequest,
app.access_request.approver.approve,AAA,User,
app.oauth2.trusted_server.delete,filesystem,AuthorizationServerTrustMappingEntity,
app.oauth2.trusted_server.add,filesystem,AuthorizationServerTrustMappingEntity,
app.access_request.approver.deny,AAA,User,
app.access_request.deny,AAA,User,
app.access_request.delete,AAA,User,
