EventCode,EventType,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype,user
4776,0,Info,2488451719,"1471888355.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,71598591,"1471888470.000","anon_ComputerName_5","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,142420143,"1471888943.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488465189,"1471888961.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488465186,"1471888961.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,118594387,"1471889134.000","anon_ComputerName_12","WinEventLog:Security","WinEventLog:Security",bob
4648,0,Info,1003739166,"1471889360.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488474737,"1471889441.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488484613,"1471889884.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488499589,"1471890419.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488516186,"1471891250.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,142442943,"1471891473.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,121261903,"1471891984.000","anon_ComputerName_11","WinEventLog:Security","WinEventLog:Security",bob
4768,0,Info,69359535,"1471892169.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,241181875,"1471892452.000","anon_ComputerName_19","WinEventLog:Security","WinEventLog:Security",bob
4624,0,Info,142457025,"1471893106.000","anon_ComputerName_13","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488553415,"1471893112.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4768,0,Info,69374213,"1471893337.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,1003780531,"1471894309.000","anon_ComputerName_18","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2488589287,"1471894729.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488597716,"1471895148.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488600113,"1471895272.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488606273,"1471895590.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488606867,"1471895630.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2488608978,"1471895738.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4776,0,Info,2488618787,"1471896204.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488633079,"1471896963.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488679683,"1471899321.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",chuck
4648,0,Info,2488684942,"1471899593.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4768,0,Info,69444148,"1471899639.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,2361008,"1471899825.000","anon_ComputerName_22","WinEventLog:Security","WinEventLog:Security",chuck
4776,0,Info,2488709900,"1471900797.000","anon_ComputerName_17","WinEventLog:Security","WinEventLog:Security",bob
4768,0,Info,69462268,"1471901278.000","anon_ComputerName_25","WinEventLog:Security","WinEventLog:Security",chuck
4624,0,Info,121310889,"1471901566.000","anon_ComputerName_11","WinEventLog:Security","WinEventLog:Security",bob
