vendor_action_id,vendor_action_description,action,object_category,object,change_type,object_attrs,status
10243,ASSIGN_SYSTEMFIELDS_USER_ROLE,modified,system user,,AAA,,
16157,CONF_VALUE_ADDED,created,conf parameter,configuration,AAA,,
16255,CONF_VALUE_DELETED,deleted,conf parameter,configuration,AAA,,
26122,OC_CONFIGURE_SSH,modified,system,configure SSH,filesystem,,
26170,OC_OS_PASSWORD_CHANGE,modified,password,password,AAA,,
26168,OC_EDIT_HOSTS_FILE,modified,system,hosts file,filesystem,,
26123,OC_CONFIG_SYSTEM_NETWORK_SETTING,modified,configuration,system configuration,AAA,,
26113,OC_CREATE_BACKUP,created,filesystem,backup file,filesystem,,
20250,AUTHMGR_TOKENPROFILES_DELETE,deleted,token profile,,AAA,,
20249,AUTHMGR_TOKENPROFILES_UPDATE,modified,token profile,,AAA,,
16022,REGISTRY_INSTANCE_LOOKUP,modified,registry,lookup,filesystem,,
16280,OC_REPLICATION_STATUS,read,system,system configuration,AAA,,
26169,OC_NETWORK_TOOLS,started,system,network tools,AAA,,
26163,OC_SCHEDULE_BACKUP,modified,system,system configuration,AAA,,
26164,OC_SCHEDULE_CREATE_BACKUP,created,backup,backup file,filesystem,,
10271,UPDATE_SECURITY_QUESTIONS_LIST,modified,user,,filesystem,,
16324,UPDATE_SECURITY_QUESTIONS_LIST,read,security question,security question list,filesystem,,
20178,AM_RADIUS_UPDATE_POLICY,modified,radius policy,,filesystem,,
20142,AM_RADIUS_ATTRDEF_CREATE,created,attribute defination,,AAA,,
20143,AM_RADIUS_ATTRDEF_UPDATE,modified,attribute defination,,AAA,,
20144,AM_RADIUS_ATTRDEF_DELETE,deleted,attribute defination,,AAA,,
10273,ADD_CERTIFICATE,modified,add certificate,,filesystem,,
10274,DELETE_CERTIFICATE,deleted,certificate,,filesystem,,
16164,KM_KEY_BIND,modified,system,key,AAA,,
10200,CREATE_TRUST,created,trust realm,,AAA,,
10202,UPDATE_TRUST,modified,trust realm,,AAA,,
10201,DELETE_TRUST,deleted,trust realm,,AAA,,
20137,TRUSTED_USER_GROUP_ACCESS_HOURS_LINK_UNLINK,modified,user group,,AAA,,
10217,READ_REPORT_DATA,read,report,,filesystem,,
10213,SCHEDULE_BATCH_JOB,modified,batch job,,AAA,,
10214,DELETE_SCHEDULE_JOB,deleted,batch job,,AAA,,
20163,REALM_SETTINGS_READ,read,realm setting,,AAA,,
20162,REALM_SETTINGS_UPDATE,modified,realm setting,,AAA,,
