vendor_action_id,vendor_action_description,event_type
20181,AM_RADIUS_LINK_PROFILE_PRINCIPAL,principal_event
20183,AM_RADIUS_UNLINK_PROFILE_PRINCIPAL,principal_event
20180,AM_RADIUS_LINK_PROFILE_AGENT,principal_event
20182,AM_RADIUS_UNLINK_PROFILE_AGENT,principal_event
20186,AM_RADIUS_LINK_PROFILE_PRINCIPAL_ALIAS,principal_event
20187,AM_RADIUS_UNLINK_PROFILE_PRINCIPAL_ALIAS,principal_event
30024,UCM_USER_PROFILE_UPDATE,principal_event
30027,UCM_AUTHENTICATION_CONFIGURATION_UPDATE,principal_event
30010,UCM_RESET_PASSWORD,principal_event
30017,UCM_UPDATE_USER_GROUPS,principal_event
13002,AUTHN_PRINCIPAL_LOCKED,principal_event
16111,READ_PRINCIPAL,principal_event
20231,AUTHMGR_CTKIP_AUTHCODE_UPDATE,principal_event
10291,RESTORE_ADMIN,principal_event
20192,AM_APS_AUTO_REG_ENABLED,principal_event
20193,AM_APS_AUTO_REG_DEFAULT_REALM,principal_event
20215,AM_APS_AUTO_REG_DISABLED,principal_event
20238,AM_GENERATE_REPLICA_PKG,all_changes_event
20184,AM_RADIUS_REPLICATION_PUBLISH,all_changes_event
20164,AM_RADIUS_CREATE_CLIENT,all_changes_event
20166,AM_RADIUS_UPDATE_CLIENT,all_changes_event
20167,AM_RADIUS_DELETE_CLIENT,all_changes_event
20168,AM_RADIUS_CREATE_PROFILE,all_changes_event
20170,AM_RADIUS_UPDATE_PROFILE,all_changes_event
20171,AM_RADIUS_DELETE_PROFILE,all_changes_event
20149,AM_RADIUS_ATTRVAL_MANAGE,all_changes_event
20002,UPDATE_AM_PRINCIPAL,all_changes_event
20004,READ_AM_PRINCIPAL_EMERGENCY_ACCESS_INFO,all_changes_event
26158,MODIFY_RADIUS_REPLICATION_TIMER,all_changes_event
20237,AM_PERIODIC_RADIUS_REPLICATION_DISABLED,all_changes_event
20236,AM_PERIODIC_RADIUS_REPLICATION_ENABLED,all_changes_event
20197,AM_EAP32_PEPPER_MIN,all_changes_event
20198,AM_EAP32_PEPPER_MAX,all_changes_event
20199,AM_EAP32_PEPPER_LIFETIME,all_changes_event
20200,AM_EAP32_PEPPER_REFRESH,all_changes_event
20201,AM_EAP32_ITERATION_COUNT_MIN,all_changes_event
20202,AM_EAP32_ITERATION_COUNT_MAX,all_changes_event
20235,AM_EAP32_SESSION_RESUMPTION_DISABLED,all_changes_event
20234,AM_EAP32_SESSION_RESUMPTION_ENABLED,all_changes_event
20068,AUTHMGR_APS_UPDATE,all_changes_event
30018,UCM_SET_REALM_PREFERENCES,all_changes_event
30025,UCM_USER_GROUP_UPDATE,all_changes_event
30023,UCM_SECURITY_DOMAIN_UPDATE,all_changes_event
30022,UCM_IDENTITY_SOURCE_UPDATE,all_changes_event
30021,UPDATE_SHIPPING_ADDRESS_CONFIGURATION,all_changes_event
30028,UCM_SELFSERVICE_OPERATION_MAPPING_UPDATE,all_changes_event
30043,UCM_MAIL_NOTIFICATION_TEMPLATE_ADD,all_changes_event
30020,UCM_UPDATE_SMART_CARD_CONFIG,all_changes_event
30048,UCM_REQUEST_AUTO_APPROVE,all_changes_event
10285,UPDATE_SECURITY_QUESTION_ANSWERS,all_changes_event
30001,UCM_REQUEST_CREATE,all_changes_event
30014,UCM_UPDATE_USER_ATTRIBUTES,all_changes_event
30004,UCM_REQUEST_REJECT,all_changes_event
30006,UCM_REQUEST_UPDATE,all_changes_event
30002,UCM_REQUEST_APPROVE,all_changes_event
30005,UCM_REQUEST_CANCEL,all_changes_event
10295,CREATE_WEBTIER_KEYSTORE,all_changes_event
10277,ADD_WEBTIER_DEPLOYMENT,all_changes_event
10278,UPDATE_WEBTIER_DEPLOYMENT,all_changes_event
10280,GENERATE_WEBTIER_PACKAGE,all_changes_event
