vendor_action,action
blocked,blocked
allowed,allowed
IDS_ALERT_ACT_TAK_DEL,blocked
jticlient.blocked,blocked
jticlient.repaired,allowed
IDS_THREAT_ACTION_ALLOW,allowed
IDS_ACTION_WOULD_BLOCK,blocked
jticlient.would.repaired,allowed
IDS_ALERT_ACT_TAK_CONT,allowed
IDS_ALERT_ACT_TAK_WBD,blocked
jticlient.would.blocked,blocked
